date,precipitation,temp_max,temp_min,wind,weather
1/2/2012,10.9,10.6,2.8,4.5,rain
1/3/2012,0.8,11.7,7.2,2.3,rain
1/4/2012,20.3,12.2,5.6,4.7,rain
1/5/2012,1.3,8.9,2.8,6.1,rain
1/6/2012,2.5,4.4,2.2,2.2,rain
1/7/2012,0,7.2,2.8,2.3,rain
1/8/2012,0,10,2.8,2,sun
1/9/2012,4.3,9.4,5,3.4,rain
1/10/2012,1,6.1,0.6,3.4,rain
1/11/2012,0,6.1,-1.1,5.1,sun
1/12/2012,0,6.1,-1.7,1.9,sun
1/13/2012,0,5,-2.8,1.3,sun
1/14/2012,4.1,4.4,0.6,5.3,snow
1/15/2012,5.3,1.1,-3.3,3.2,snow
1/1/2012,0,12.8,5,4.7,drizzle
1/16/2012,2.5,1.7,-2.8,5,snow
1/17/2012,8.1,3.3,0,5.6,snow
1/18/2012,19.8,0,-2.8,5,snow
1/19/2012,15.2,-1.1,-2.8,1.6,snow
1/20/2012,13.5,7.2,-1.1,2.3,snow
1/21/2012,3,8.3,3.3,8.2,rain
1/22/2012,6.1,6.7,2.2,4.8,rain
1/23/2012,0,8.3,1.1,3.6,rain
1/24/2012,8.6,10,2.2,5.1,rain
1/25/2012,8.1,8.9,4.4,5.4,rain
1/26/2012,4.8,8.9,1.1,4.8,rain
1/27/2012,0,6.7,-2.2,1.4,drizzle
1/28/2012,0,6.7,0.6,2.2,rain
1/29/2012,27.7,9.4,3.9,4.5,rain
1/30/2012,3.6,8.3,6.1,5.1,rain
1/31/2012,1.8,9.4,6.1,3.9,rain
2/1/2012,13.5,8.9,3.3,2.7,rain
2/2/2012,0,8.3,1.7,2.6,sun
2/3/2012,0,14.4,2.2,5.3,sun
2/4/2012,0,15.6,5,4.3,sun
2/5/2012,0,13.9,1.7,2.9,sun
2/6/2012,0,16.1,1.7,5,sun
2/7/2012,0.3,15.6,7.8,5.3,rain
2/8/2012,2.8,10,5,2.7,rain
2/9/2012,2.5,11.1,7.8,2.4,rain
2/10/2012,2.5,12.8,6.7,3,rain
2/11/2012,0.8,8.9,5.6,3.4,rain
2/12/2012,1,8.3,5,1.3,rain
2/13/2012,11.4,7.2,4.4,1.4,rain
2/14/2012,2.5,6.7,1.1,3.1,rain
2/15/2012,0,7.2,0.6,1.8,drizzle
2/16/2012,1.8,7.2,3.3,2.1,rain
2/17/2012,17.3,10,4.4,3.4,rain
2/18/2012,6.4,6.7,3.9,8.1,rain
2/19/2012,0,6.7,2.2,4.7,sun
2/20/2012,3,7.8,1.7,2.9,rain
2/21/2012,0.8,10,7.8,7.5,rain
2/22/2012,8.6,10,2.8,5.9,rain
2/23/2012,0,8.3,2.8,3.9,sun
2/24/2012,11.4,6.7,4.4,3.5,rain
2/25/2012,0,7.2,2.8,6.4,rain
2/26/2012,1.3,5,-1.1,3.4,snow
2/27/2012,0,6.7,-2.2,3,sun
2/28/2012,3.6,6.7,-0.6,4.2,snow
2/29/2012,0.8,5,1.1,7,snow
3/1/2012,0,6.1,1.1,3.1,sun
3/2/2012,2,6.7,3.9,5.1,rain
3/3/2012,0,12.2,6.7,7,sun
3/4/2012,0,10.6,6.7,5.6,rain
3/5/2012,6.9,7.8,1.1,6.2,rain
3/6/2012,0.5,6.7,0,2.7,snow
3/7/2012,0,8.9,-1.7,2.7,sun
3/8/2012,0,15.6,0.6,2.5,sun
3/9/2012,3.6,9.4,5,2.8,rain
3/10/2012,10.4,7.2,6.1,3.4,rain
3/11/2012,13.7,6.7,2.8,5.8,rain
3/12/2012,19.3,8.3,0.6,6.2,snow
3/13/2012,9.4,5.6,0.6,5.3,snow
3/14/2012,8.6,7.8,1.1,4.7,rain
3/15/2012,23.9,11.1,5.6,5.8,snow
3/16/2012,8.4,8.9,3.9,5.1,rain
3/17/2012,9.4,10,0.6,3.8,snow
3/18/2012,3.6,5,-0.6,2.7,rain
3/19/2012,2,7.2,-1.1,3,rain
3/20/2012,3.6,7.8,2.2,6.4,rain
3/21/2012,1.3,8.9,1.1,2.5,rain
3/22/2012,4.1,10,1.7,2.1,rain
3/23/2012,0,12.2,0.6,2.8,sun
3/24/2012,0,15,3.3,5.2,sun
3/25/2012,0,13.3,2.2,2.7,rain
3/26/2012,0,12.8,6.1,4.3,drizzle
3/27/2012,4.8,14.4,6.7,3.8,rain
3/28/2012,1.3,10.6,7.2,5.9,rain
3/29/2012,27.4,10,6.1,4.4,rain
3/30/2012,5.6,9.4,5,4.7,rain
3/31/2012,13.2,10,2.8,3.4,rain
4/1/2012,1.5,8.9,4.4,6.8,rain
4/2/2012,0,16.7,4.4,3.1,sun
4/3/2012,1.5,11.7,3.3,3.1,rain
4/4/2012,0,10.6,2.8,2.1,sun
4/5/2012,4.6,9.4,2.8,1.8,snow
4/6/2012,0.3,11.1,3.3,2.6,rain
4/7/2012,0,16.1,1.7,4.3,sun
4/8/2012,0,21.1,7.2,4.1,sun
4/9/2012,0,20,6.1,2.1,sun
4/10/2012,0,17.8,8.9,3.2,rain
4/11/2012,2.3,11.1,7.2,2.6,rain
4/12/2012,0.5,13.9,5.6,2.6,rain
4/13/2012,0,15,3.9,4,drizzle
4/14/2012,0,15.6,3.3,3,sun
4/15/2012,0,16.1,7.2,2.9,rain
4/16/2012,8.1,13.3,6.7,5.8,rain
4/17/2012,1.8,10,4.4,2,rain
4/18/2012,1.8,13.3,7.2,3.9,rain
4/19/2012,10.9,13.9,5,2.6,rain
4/20/2012,6.6,13.3,6.7,2.7,rain
4/21/2012,0,20,4.4,2.3,sun
4/22/2012,0,23.3,8.3,2.6,rain
4/23/2012,0,21.7,8.9,3.5,sun
4/24/2012,4.3,13.9,10,2.8,rain
4/25/2012,10.7,16.7,8.9,2.6,rain
4/26/2012,3.8,13.9,6.7,5.2,rain
4/27/2012,0.8,13.3,6.1,4.8,rain
4/28/2012,0,16.1,8.3,2.5,drizzle
4/29/2012,4.3,15.6,8.9,1.6,rain
4/30/2012,4.3,12.8,7.2,8,rain
5/1/2012,0.5,11.7,6.1,6.4,rain
5/2/2012,0.5,13.3,5.6,2.5,rain
5/3/2012,18.5,11.1,7.2,3.4,rain
5/4/2012,1.8,12.2,6.1,4.6,rain
5/5/2012,0,13.3,5,2.3,sun
5/6/2012,0,17.8,5,2.4,sun
5/7/2012,0,23.9,6.1,2.2,sun
5/8/2012,0,18.3,9.4,3,sun
5/9/2012,0,13.3,6.7,3.9,rain
5/10/2012,0,14.4,3.9,3,sun
5/11/2012,0,18.3,4.4,4.3,sun
5/12/2012,0,24.4,6.7,3.4,sun
5/13/2012,0,25.6,9.4,4.2,sun
5/14/2012,0,26.7,12.8,3.8,sun
5/15/2012,0,24.4,9.4,4.1,drizzle
5/16/2012,0,19.4,9.4,3.5,sun
5/17/2012,0,17.8,6.7,2.9,rain
5/18/2012,0,15.6,7.8,3.1,rain
5/19/2012,0,19.4,7.2,1.5,sun
5/20/2012,6.4,14.4,11.7,1.3,rain
5/21/2012,14,16.7,10,4,rain
5/22/2012,6.1,12.8,8.9,4.8,rain
5/23/2012,0.3,14.4,8.9,6.3,rain
5/24/2012,0,17.2,8.9,3.3,rain
5/25/2012,0,22.2,8.9,3.1,rain
5/26/2012,0,22.2,8.9,3.6,sun
5/27/2012,0,17.2,11.7,3.7,sun
5/28/2012,0,16.7,10,3.4,rain
5/29/2012,0,16.1,7.8,1.8,sun
5/30/2012,0.3,18.9,11.1,1.5,rain
5/31/2012,3.8,17.8,12.2,2.7,rain
6/1/2012,6.6,20,12.8,3.7,rain
6/2/2012,0.3,18.9,10.6,3.7,rain
6/3/2012,0,17.2,9.4,2.9,sun
6/4/2012,1.3,12.8,8.9,3.1,rain
6/5/2012,16,13.3,8.3,3.3,rain
6/6/2012,0,16.1,6.1,3.4,sun
6/7/2012,16.5,16.1,8.9,3.5,rain
6/8/2012,1.5,15,8.3,3,rain
6/9/2012,0,17.2,8.3,4.7,rain
6/10/2012,0,18.9,10,2.9,sun
6/11/2012,0,23.3,10,1.8,rain
6/12/2012,0.8,18.3,12.8,3.9,rain
6/13/2012,0,16.1,11.1,4.3,sun
6/14/2012,0,17.2,10,2.7,sun
6/15/2012,0,22.2,9.4,1.7,sun
6/16/2012,0,21.1,15,4.1,rain
6/17/2012,0,18.9,11.7,6.4,sun
6/18/2012,3,17.2,10,3.8,rain
6/19/2012,1,19.4,10,3,rain
6/20/2012,0,24.4,10,3,sun
6/21/2012,0,23.9,11.7,2.1,sun
6/22/2012,15.7,13.9,11.7,1.9,rain
6/23/2012,8.6,15.6,9.4,2.5,rain
6/24/2012,0,19.4,9.4,2,drizzle
6/25/2012,0.5,19.4,11.1,3.1,rain
6/26/2012,0,18.3,10.6,3.4,rain
6/27/2012,0,22.8,8.9,1.8,sun
6/28/2012,0,22.2,11.7,2.5,rain
6/29/2012,0.3,21.7,15,1.9,rain
6/30/2012,3,20,13.3,2.4,rain
7/1/2012,0,20,12.2,2.3,rain
7/2/2012,2,18.9,11.7,2.1,rain
7/3/2012,5.8,18.3,10.6,6,rain
7/4/2012,0,20.6,9.4,3.8,sun
7/5/2012,0,24.4,10.6,3.1,drizzle
7/6/2012,0,25,11.1,2.1,sun
7/7/2012,0,26.7,12.8,3.8,sun
7/8/2012,0,28.3,14.4,2.8,rain
7/9/2012,1.5,25,12.8,2,rain
7/10/2012,0,23.9,11.1,2.3,drizzle
7/11/2012,0,27.8,13.3,2.9,fog
7/12/2012,0,25.6,13.3,2.7,drizzle
7/13/2012,0.5,23.3,13.9,2.2,rain
7/14/2012,0,25,15,2.2,rain
7/15/2012,0,18.9,13.3,3.8,rain
7/16/2012,0.3,26.1,13.3,2.5,rain
7/17/2012,0,21.7,15,2.6,sun
7/18/2012,0,21.1,14.4,2.9,sun
7/19/2012,0,25,14.4,2.2,sun
7/20/2012,15.2,19.4,13.9,4,rain
7/21/2012,0,23.9,13.9,2.3,sun
7/22/2012,1,20.6,12.2,3.9,rain
7/23/2012,0,18.9,11.1,3.3,rain
7/24/2012,0,23.3,12.2,4.3,sun
7/25/2012,0,26.7,12.8,2.6,sun
7/26/2012,0,25.6,12.8,2.2,drizzle
7/27/2012,0,18.9,13.9,2.8,drizzle
7/28/2012,0,22.2,13.3,1.7,drizzle
7/29/2012,0,22.8,15,2,sun
7/30/2012,0,19.4,13.3,3,sun
7/31/2012,0,22.8,13.9,2.8,sun
8/1/2012,0,23.9,13.3,2.2,drizzle
8/2/2012,0,23.3,12.2,2.5,sun
8/3/2012,0,27.2,12.8,3.9,sun
8/4/2012,0,33.9,16.7,3.7,sun
8/5/2012,0,33.9,17.8,1.9,sun
8/6/2012,0,28.3,15.6,2.5,rain
8/7/2012,0,21.1,15,2.6,drizzle
8/8/2012,0,22.2,15,3.1,sun
8/9/2012,0,24.4,14.4,3.8,drizzle
8/10/2012,0,25.6,12.2,2.3,sun
8/11/2012,0,28.3,13.3,2.5,sun
8/12/2012,0,30.6,15,3,sun
8/13/2012,0,30.6,15,2.8,sun
8/14/2012,0,28.9,13.9,2.8,sun
8/15/2012,0,31.1,16.7,4.7,sun
8/16/2012,0,34.4,18.3,2.8,sun
8/17/2012,0,32.8,16.1,1.8,sun
8/18/2012,0,21.7,14.4,3,drizzle
8/19/2012,0,23.3,15,2.7,drizzle
8/20/2012,0,25.6,15,1.9,sun
8/21/2012,0,23.3,13.3,3,rain
8/22/2012,0,22.2,13.3,2.3,sun
8/23/2012,0,21.1,13.9,3.8,sun
8/24/2012,0,22.2,10,3.3,sun
8/25/2012,0,26.1,11.7,3.2,sun
8/26/2012,0,21.1,12.2,3.4,sun
8/27/2012,0,23.9,13.3,1.8,sun
8/28/2012,0,22.8,12.2,3.2,sun
8/29/2012,0,22.8,13.3,2.4,sun
8/30/2012,0,22.8,12.8,1.9,sun
8/31/2012,0,22.2,10.6,2.9,sun
9/1/2012,0,21.7,10.6,2.1,sun
9/2/2012,0,21.1,10,2,sun
9/3/2012,0,22.8,12.8,3.3,sun
9/4/2012,0,24.4,11.1,3.1,sun
9/5/2012,0,26.1,11.7,2.6,sun
9/6/2012,0,28.3,14.4,4.2,sun
9/7/2012,0,32.2,13.3,3.1,sun
9/8/2012,0,25,13.3,3,sun
9/9/2012,0.3,18.9,13.9,5,rain
9/10/2012,0.3,20,11.7,3.9,rain
9/11/2012,0,20,8.9,4.2,sun
9/12/2012,0,22.2,10,5.6,sun
9/13/2012,0,27.8,11.7,3.6,sun
9/14/2012,0,26.1,11.1,1.5,sun
9/15/2012,0,22.2,11.1,1.9,sun
9/16/2012,0,24.4,9.4,2.3,sun
9/17/2012,0,27.8,11.7,2.2,fog
9/18/2012,0,27.8,11.7,1.4,sun
9/19/2012,0,23.9,11.7,1.9,drizzle
9/20/2012,0,19.4,10,2.5,drizzle
9/21/2012,0,16.1,12.8,2.1,drizzle
9/22/2012,0.3,19.4,11.7,1.1,rain
9/23/2012,0,19.4,10,1.4,fog
9/24/2012,0,21.1,10,1.8,fog
9/25/2012,0,19.4,11.1,1.7,sun
9/26/2012,0,19.4,9.4,1.7,drizzle
9/27/2012,0,22.8,10,1.7,drizzle
9/28/2012,0,25,12.2,1.1,rain
9/29/2012,0,20.6,12.2,4.3,sun
9/30/2012,0,21.1,7.8,3.1,sun
10/1/2012,0,23.3,8.9,3,sun
10/2/2012,0,17.8,10,4.1,sun
10/3/2012,0,18.9,7.8,7.3,sun
10/4/2012,0,18.9,8.3,6.5,sun
10/5/2012,0,21.7,8.9,5.7,sun
10/6/2012,0,23.9,7.8,5.1,sun
10/7/2012,0,23.9,7.8,1.3,sun
10/8/2012,0,21.1,7.8,1.9,sun
10/9/2012,0,16.1,8.9,1.6,drizzle
10/10/2012,0,12.2,8.3,1.4,drizzle
10/11/2012,0,13.9,7.2,1.3,drizzle
10/12/2012,2,13.9,8.9,4.6,rain
10/13/2012,4.8,15.6,12.2,3.9,rain
10/14/2012,16.5,17.8,13.3,3.4,rain
10/15/2012,7.9,17.2,11.1,4.6,rain
10/16/2012,0,16.1,8.3,5.5,sun
10/17/2012,0,14.4,6.1,1.6,sun
10/18/2012,20.8,17.8,6.7,2,rain
10/19/2012,4.8,15,9.4,5.3,rain
10/20/2012,0.5,11.1,6.1,5.7,rain
10/21/2012,6.4,11.7,4.4,2.7,rain
10/22/2012,8.9,7.8,3.3,2.6,rain
10/23/2012,0,11.1,5.6,3,rain
10/24/2012,7.1,11.7,6.1,2.1,rain
10/25/2012,0,11.7,6.7,1.5,sun
10/26/2012,1.5,11.1,7.2,2.5,rain
10/27/2012,23.1,14.4,9.4,5.1,rain
10/28/2012,6.1,14.4,10,3.8,rain
10/29/2012,10.9,15.6,10,4.9,rain
10/30/2012,34.5,15,12.2,2.8,rain
10/31/2012,14.5,15.6,11.1,2.7,rain
11/1/2012,9.7,15,10.6,3,rain
11/2/2012,5.6,15,10.6,1,rain
11/3/2012,0.5,15.6,11.1,3.6,rain
11/4/2012,8.1,17.8,12.8,3.8,rain
11/5/2012,0.8,15,7.8,4,rain
11/6/2012,0.3,12.8,6.7,3.5,rain
11/7/2012,0,12.2,3.9,3.4,rain
11/8/2012,0,10,1.1,3.4,rain
11/9/2012,0,8.9,1.1,2,rain
11/10/2012,0,7.8,-0.6,2.2,sun
11/11/2012,15.2,8.9,1.1,3,rain
11/12/2012,3.6,12.8,6.1,3,rain
11/13/2012,5.3,11.1,7.8,2.5,rain
11/14/2012,0.8,11.1,5,2.6,rain
11/15/2012,0,9.4,2.8,2.4,drizzle
11/16/2012,5.6,9.4,2.2,1.6,rain
11/17/2012,6.1,12.2,6.1,5.3,rain
11/18/2012,7.9,10,6.1,4.9,rain
11/19/2012,54.1,13.3,8.3,6,rain
11/20/2012,3.8,11.1,7.2,4.2,rain
11/21/2012,11.2,8.3,3.9,5.5,rain
11/22/2012,0,8.9,2.8,1.5,rain
11/23/2012,32,9.4,6.1,2.4,rain
11/24/2012,0,8.9,3.9,1.2,rain
11/25/2012,0,8.3,1.1,3.6,drizzle
11/26/2012,0,9.4,1.7,3.8,fog
11/27/2012,0,10,1.7,1.5,sun
11/28/2012,2.8,9.4,2.2,2.9,rain
11/29/2012,1.5,12.8,7.8,4.2,rain
11/30/2012,35.6,15,7.8,4.6,rain
12/1/2012,4.1,13.3,8.3,5.5,rain
12/2/2012,19.6,8.3,7.2,6.2,rain
12/3/2012,13,9.4,7.2,4.4,rain
12/4/2012,14.2,11.7,7.2,6.2,rain
12/5/2012,1.5,8.9,4.4,5,rain
12/6/2012,1.5,7.2,6.1,5.1,rain
12/7/2012,1,7.8,3.3,4.6,rain
12/8/2012,0,6.7,3.3,2,sun
12/9/2012,1.5,6.7,2.8,2.1,rain
12/10/2012,0.5,7.2,5.6,1.8,rain
12/11/2012,3,7.8,5.6,4.5,rain
12/12/2012,8.1,6.7,4.4,2,rain
12/13/2012,2.3,7.2,3.3,2.8,rain
12/14/2012,7.9,6.1,1.1,1.7,rain
12/15/2012,5.3,4.4,0.6,5.1,snow
12/16/2012,22.6,6.7,3.3,5.5,snow
12/17/2012,2,8.3,1.7,9.5,rain
12/18/2012,3.3,3.9,0.6,5.3,snow
12/19/2012,13.7,8.3,1.7,5.8,snow
12/20/2012,13.2,7.2,0.6,3.7,rain
12/21/2012,1.8,8.3,-1.7,1.7,rain
12/22/2012,3.3,8.3,3.9,3.5,rain
12/23/2012,6.6,7.2,3.3,2.5,rain
12/24/2012,0.3,5.6,2.8,2.8,rain
12/25/2012,13.5,5.6,2.8,4.2,snow
12/26/2012,4.6,6.7,3.3,4.9,rain
12/27/2012,4.1,7.8,3.3,3.2,rain
12/28/2012,0,8.3,3.9,1.7,rain
12/29/2012,1.5,5,3.3,1.7,rain
12/30/2012,0,4.4,0,1.8,drizzle
12/31/2012,0,3.3,-1.1,2,drizzle
1/1/2013,0,5,-2.8,2.7,sun
1/2/2013,0,6.1,-1.1,3.2,sun
1/3/2013,4.1,6.7,-1.7,3,rain
1/4/2013,2.5,10,2.2,2.8,rain
1/5/2013,3,6.7,4.4,3.1,rain
1/6/2013,2,7.2,2.8,3,rain
1/7/2013,2.3,10,4.4,7.3,rain
1/8/2013,16.3,11.7,5.6,6.3,rain
1/9/2013,38.4,10,1.7,5.1,rain
1/10/2013,0.3,3.3,-0.6,2.1,snow
1/11/2013,0,2.8,-2.8,1.9,drizzle
1/12/2013,0,2.8,-3.9,2,sun
1/13/2013,0,2.2,-4.4,1.5,sun
1/14/2013,0,3.3,-2.2,1.3,sun
1/15/2013,0,6.7,-0.6,2.3,sun
1/16/2013,0,6.1,-3.9,1.8,drizzle
1/17/2013,0,3.9,-2.8,1,drizzle
1/18/2013,0,3.3,-1.1,1.3,drizzle
1/19/2013,0,1.1,-0.6,1.9,drizzle
1/20/2013,0,3.3,-0.6,2.1,drizzle
1/21/2013,0,2.2,-1.7,1.1,drizzle
1/22/2013,0,3.3,-1.7,0.6,drizzle
1/23/2013,5.1,7.2,2.2,3.1,rain
1/24/2013,5.8,7.2,1.1,2.6,rain
1/25/2013,3,10.6,2.8,2.1,rain
1/26/2013,2.3,8.3,3.9,4.5,rain
1/27/2013,1.8,5.6,3.9,4.5,rain
1/28/2013,7.9,6.1,3.3,3.2,rain
1/29/2013,4.3,8.3,5,3.9,rain
1/30/2013,3.6,8.9,6.7,3.9,rain
1/31/2013,3,9.4,7.2,4,rain
2/1/2013,0.3,11.7,5,2.9,rain
2/2/2013,0,6.1,2.8,2,drizzle
2/3/2013,2.3,8.9,2.8,2.9,rain
2/4/2013,0,10.6,6.7,2.6,rain
2/5/2013,3.3,10,6.7,5.1,rain
2/6/2013,1,10.6,6.1,4.5,rain
2/7/2013,1.3,9.4,3.3,4.1,rain
2/8/2013,0,7.8,2.2,1.3,sun
2/9/2013,0.3,8.3,4.4,1.3,rain
2/10/2013,0,8.9,1.7,2,drizzle
2/11/2013,0.3,8.3,4.4,1.4,rain
2/12/2013,1,11.1,7.2,5.6,rain
2/13/2013,2.3,9.4,7.2,4.1,rain
2/14/2013,1,9.4,5.6,2.2,rain
2/15/2013,0,13.3,5,2.4,drizzle
2/16/2013,0,11.1,3.9,5.6,rain
2/17/2013,0,9.4,4.4,3.4,rain
2/18/2013,0,7.8,3.9,1.9,rain
2/19/2013,0,10.6,1.7,3.4,sun
2/20/2013,1.5,7.8,1.1,2.1,rain
2/21/2013,0.5,6.7,3.9,6.2,rain
2/22/2013,9.4,7.8,3.9,8.1,rain
2/23/2013,0.3,10,3.9,4.6,rain
2/24/2013,0,8.9,5,5.5,rain
2/25/2013,2.3,10.6,3.3,7.1,rain
2/26/2013,0.5,8.9,3.9,3.8,rain
2/27/2013,4.6,10,4.4,1.8,rain
2/28/2013,8.1,11.7,6.7,3.8,rain
3/1/2013,4.1,15,11.1,5.4,rain
3/2/2013,0.8,13.9,5,4.5,rain
3/3/2013,0,11.1,2.2,2.8,sun
3/4/2013,0,13.3,0,3.9,sun
3/5/2013,0,9.4,6.1,2.4,rain
3/6/2013,11.9,7.2,5,4.1,rain
3/7/2013,7.4,12.2,5,2.5,rain
3/8/2013,0,11.7,2.2,2.6,drizzle
3/9/2013,0,12.8,1.1,1.3,fog
3/10/2013,0.8,7.8,3.9,1.6,rain
3/11/2013,1.3,10.6,6.1,1.1,rain
3/12/2013,2,12.8,10,5.7,rain
3/13/2013,2.3,11.7,9.4,3.7,rain
3/14/2013,2.8,11.7,9.4,3,rain
3/15/2013,0,14.4,8.9,4.3,rain
3/16/2013,4.3,10.6,4.4,6.4,rain
3/17/2013,0,8.9,3.9,6.1,sun
3/18/2013,0,11.7,3.9,5.9,rain
3/19/2013,11.7,12.8,1.7,3.4,rain
3/20/2013,9.9,11.1,4.4,7.6,rain
3/21/2013,8.1,10,2.2,4.9,snow
3/22/2013,0,9.4,0.6,2.2,sun
3/23/2013,0,10,1.1,2.6,sun
3/24/2013,0,12.2,0.6,2.1,sun
3/25/2013,0,16.7,4.4,2.8,sun
3/26/2013,0,16.7,6.1,1.7,sun
3/27/2013,0.3,13.3,7.2,1.6,rain
3/28/2013,2,16.1,8.3,1.3,rain
3/29/2013,0,18.3,7.8,2.5,rain
3/30/2013,0,20,5.6,4.4,drizzle
3/31/2013,0,20.6,6.7,2.9,sun
4/1/2013,0,17.2,8.3,3.6,sun
4/2/2013,0,13.9,8.9,2.2,sun
4/3/2013,0,16.7,7.8,1.6,sun
4/4/2013,8.4,14.4,10,3,rain
4/5/2013,18.5,13.9,10,5.6,rain
4/6/2013,12.7,12.2,7.2,5,rain
4/7/2013,39.1,8.3,5,3.9,rain
4/8/2013,0.8,13.3,6.1,3.1,rain
4/9/2013,0,12.2,6.1,2.4,sun
4/10/2013,9.4,15,8.9,6.4,rain
4/11/2013,1.5,12.2,6.7,3.8,rain
4/12/2013,9.7,7.8,4.4,4.6,rain
4/13/2013,9.4,10.6,3.3,5.7,rain
4/14/2013,5.8,12.8,4.4,2.3,rain
4/15/2013,0,13.9,4.4,2.4,fog
4/16/2013,0.3,13.9,3.3,2.6,rain
4/17/2013,0,15,3.9,3.3,drizzle
4/18/2013,5.3,11.7,6.7,4,rain
4/19/2013,20.6,13.3,9.4,4.9,rain
4/20/2013,0,13.9,8.3,5.8,sun
4/21/2013,3.3,12.2,6.7,4.1,rain
4/22/2013,0,16.1,5,4.3,sun
4/23/2013,0,17.8,3.9,2.8,sun
4/24/2013,0,21.1,6.1,3,sun
4/25/2013,0,21.7,6.7,1.1,sun
4/26/2013,0,20.6,8.3,2.2,fog
